keyword,skill_uri
mathematics,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2
statistics,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
algebra,http://data.europa.eu/esco/skill/55e910e4-736d-44cf-bfa9-b15adc5d91d2
python,http://data.europa.eu/esco/skill/ccd0a1d9-afda-43d9-b901-96344886e14d
sql,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
machine learning,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
database management systems,http://data.europa.eu/esco/skill/7369f779-4b71-4aab-8836-48b69c676eec
data warehouse,http://data.europa.eu/esco/skill/3ec2e4d6-7000-4905-bf1a-c5b1679416de
data mining,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278
distributed computing,http://data.europa.eu/esco/skill/897b393f-e7e0-4248-a40d-d77119694e83
cloud technologies,http://data.europa.eu/esco/skill/bd14968e-e409-45af-b362-3495ed7b10e0
